domain,Th_learned,stage,status,peel,events,score_mean,score_q10,score_median,score_q90
raw_native_fdr,8.0,final_clustering,fp_matched_cluster,10,2,14.652908325195312,14.601607322692873,14.652908325195312,14.70421028137207
raw_native_fdr,8.0,final_clustering,fp_matched_cluster,11,2,14.75299072265625,14.676809310913086,14.75299072265625,14.829172134399414
raw_native_fdr,8.0,final_clustering,tp,0,1472,27.533227920532227,25.66188240051269,27.399280548095703,29.647220611572266
raw_native_fdr,8.0,final_clustering,tp,1,7239,25.93973922729492,23.771684646606445,25.916240692138672,28.15608024597168
raw_native_fdr,8.0,final_clustering,tp,2,5985,24.601734161376957,21.037147521972656,24.853294372558597,27.509056091308597
raw_native_fdr,8.0,final_clustering,tp,3,4573,22.726850509643555,19.077205657958984,22.687864303588867,26.618410110473636
raw_native_fdr,8.0,final_clustering,tp,4,3993,20.67486953735352,17.82253646850586,19.68104553222656,25.19499397277832
raw_native_fdr,8.0,final_clustering,tp,5,3199,19.35194396972656,17.111398696899414,18.64841651916504,23.51621627807617
raw_native_fdr,8.0,final_clustering,tp,6,2151,18.43392562866211,16.373445510864258,17.982431411743164,20.894508361816406
raw_native_fdr,8.0,final_clustering,tp,7,1189,17.8345947265625,15.987476348876951,17.41944694519043,19.98211479187012
raw_native_fdr,8.0,final_clustering,tp,8,697,17.254688262939453,15.59487247467041,16.954973220825195,19.039291381835938
raw_native_fdr,8.0,final_clustering,tp,9,301,16.629262924194336,15.041754722595217,16.383333206176758,18.50156593322754
raw_native_fdr,8.0,final_clustering,tp,10,88,16.344226837158203,14.74077606201172,16.115581512451172,18.406206130981445
raw_native_fdr,8.0,final_clustering,tp,11,25,16.10162353515625,14.209023475646973,16.089187622070312,17.904979705810547
raw_native_fdr,8.0,final_clustering,tp,12,8,14.905149459838867,14.066192626953123,14.846267700195312,15.799903869628906
raw_native_fdr,8.0,cluster_merging,unmatched_cluster,0,189431,36.037899017333984,28.72470474243164,35.177059173583984,44.05875396728516
raw_native_fdr,8.0,cluster_merging,unmatched_cluster,1,197549,28.609283447265625,23.54232788085937,27.795833587646484,34.854454040527344
raw_native_fdr,8.0,cluster_merging,unmatched_cluster,2,165800,25.14016532897949,20.907400131225582,24.486974716186523,30.41006851196289
raw_native_fdr,8.0,cluster_merging,unmatched_cluster,3,142767,22.62792205810547,19.09856605529785,21.870655059814453,27.192895889282227
raw_native_fdr,8.0,cluster_merging,unmatched_cluster,4,131720,20.65146255493164,17.830604553222656,19.91636657714844,24.63751602172852
raw_native_fdr,8.0,cluster_merging,unmatched_cluster,5,119517,19.27653312683105,16.90580940246582,18.716815948486328,22.538217544555664
raw_native_fdr,8.0,cluster_merging,unmatched_cluster,6,98268,18.13502693176269,15.976214408874512,17.700740814208984,20.829296112060547
raw_native_fdr,8.0,cluster_merging,unmatched_cluster,7,66957,17.326627731323242,15.360093116760254,16.9509334564209,19.702028274536133
raw_native_fdr,8.0,cluster_merging,unmatched_cluster,8,49228,16.61862564086914,14.905250549316406,16.323518753051758,18.69762420654297
raw_native_fdr,8.0,cluster_merging,unmatched_cluster,9,29456,15.942642211914062,14.438858032226562,15.644670486450195,17.888803482055664
raw_native_fdr,8.0,cluster_merging,unmatched_cluster,10,14414,15.490972518920898,14.097908973693848,15.221182823181152,17.24922752380371
raw_native_fdr,8.0,cluster_merging,unmatched_cluster,11,5333,15.06911563873291,13.70596694946289,14.90481948852539,16.753204345703125
raw_native_fdr,8.0,cluster_merging,unmatched_cluster,12,1941,14.343186378479004,13.272382736206056,14.242681503295898,15.498926162719728
raw_native_fdr,8.0,cluster_merging,unmatched_cluster,13,47,14.868168830871582,13.905579566955566,14.8216552734375,15.930072784423828
raw_native_fdr,8.0,cluster_merging,fp_matched_cluster,3,2,21.30698013305664,19.42389678955078,21.30698013305664,23.1900634765625
raw_native_fdr,8.0,cluster_merging,fp_matched_cluster,4,1,19.96164894104004,19.96164894104004,19.96164894104004,19.96164894104004
raw_native_fdr,8.0,cluster_merging,fp_matched_cluster,5,1,18.814054489135746,18.814054489135746,18.814054489135746,18.814054489135746
raw_native_fdr,8.0,cluster_merging,fp_matched_cluster,6,5,16.559837341308594,15.728022575378418,16.693605422973633,17.32915496826172
raw_native_fdr,8.0,cluster_merging,fp_matched_cluster,7,2,16.184322357177734,16.001575469970703,16.184322357177734,16.367069244384766
raw_native_fdr,8.0,cluster_merging,fp_matched_cluster,8,4,16.122802734375,15.46119785308838,15.946695327758787,16.92529296875
raw_native_fdr,8.0,cluster_merging,fp_matched_cluster,9,2,15.091922760009766,15.022127151489258,15.091922760009766,15.161718368530272
raw_native_fdr,8.0,cluster_merging,fp_matched_cluster,10,2,14.652908325195312,14.601607322692873,14.652908325195312,14.70421028137207
raw_native_fdr,8.0,cluster_merging,fp_matched_cluster,11,2,14.75299072265625,14.676809310913086,14.75299072265625,14.829172134399414
raw_native_fdr,8.0,cluster_merging,tp,0,1472,27.533227920532227,25.66188240051269,27.399280548095703,29.647220611572266
raw_native_fdr,8.0,cluster_merging,tp,1,7239,25.93973922729492,23.771684646606445,25.916240692138672,28.15608024597168
raw_native_fdr,8.0,cluster_merging,tp,2,5985,24.601734161376957,21.037147521972656,24.853294372558597,27.509056091308597
raw_native_fdr,8.0,cluster_merging,tp,3,4573,22.726850509643555,19.077205657958984,22.687864303588867,26.618410110473636
raw_native_fdr,8.0,cluster_merging,tp,4,3993,20.67486953735352,17.82253646850586,19.68104553222656,25.19499397277832
raw_native_fdr,8.0,cluster_merging,tp,5,3199,19.35194396972656,17.111398696899414,18.64841651916504,23.51621627807617
raw_native_fdr,8.0,cluster_merging,tp,6,2151,18.43392562866211,16.373445510864258,17.982431411743164,20.894508361816406
raw_native_fdr,8.0,cluster_merging,tp,7,1189,17.8345947265625,15.987476348876951,17.41944694519043,19.98211479187012
raw_native_fdr,8.0,cluster_merging,tp,8,697,17.254688262939453,15.59487247467041,16.954973220825195,19.039291381835938
raw_native_fdr,8.0,cluster_merging,tp,9,301,16.629262924194336,15.041754722595217,16.383333206176758,18.50156593322754
raw_native_fdr,8.0,cluster_merging,tp,10,88,16.344226837158203,14.74077606201172,16.115581512451172,18.406206130981445
raw_native_fdr,8.0,cluster_merging,tp,11,25,16.10162353515625,14.209023475646973,16.089187622070312,17.904979705810547
raw_native_fdr,8.0,cluster_merging,tp,12,8,14.905149459838867,14.066192626953123,14.846267700195312,15.799903869628906
raw_native_fdr,8.0,duplicate_removal,unmatched_cluster,0,189405,36.03823852539063,28.72511482238769,35.1774787902832,44.05911636352539
raw_native_fdr,8.0,duplicate_removal,unmatched_cluster,1,197531,28.609302520751957,23.54235076904297,27.795833587646484,34.85442352294922
raw_native_fdr,8.0,duplicate_removal,unmatched_cluster,2,165782,25.139965057373047,20.907419204711918,24.486974716186523,30.41004753112793
raw_native_fdr,8.0,duplicate_removal,unmatched_cluster,3,142746,22.62792587280273,19.09858703613281,21.87052726745605,27.192813873291016
raw_native_fdr,8.0,duplicate_removal,unmatched_cluster,4,131708,20.651391983032227,17.830507278442383,19.916332244873047,24.637357711791992
raw_native_fdr,8.0,duplicate_removal,unmatched_cluster,5,119508,19.276521682739254,16.90582275390625,18.71682357788086,22.538198471069336
raw_native_fdr,8.0,duplicate_removal,unmatched_cluster,6,98257,18.134557723999023,15.976333618164062,17.700693130493164,20.828826904296875
raw_native_fdr,8.0,duplicate_removal,unmatched_cluster,7,66952,17.326690673828125,15.36019229888916,16.950958251953125,19.702054977416992
